LocCode,Location,FValue2021,Fvalue2020,Fvalue2019
AFR,Comoros,200.0,200.0,200.0
AFR,Comoros,200.0,200.0,200.0
EMR,Bahrain,500.0,500.0,500.0
EUR,Iceland,500.0,500.0,500.0
EMR,Qatar,500.0,500.0,200.0
EUR,Montenegro,500.0,500.0,500.0
AFR,Zimbabwe,1300000.0,1300000.0,1300000.0
AFR,Zambia,1300000.0,1300000.0,1200000.0
AFR,Kenya,1400000.0,1400000.0,1400000.0
AFR,Uganda,1400000.0,1400000.0,1200000.0
AFR,United Republic of Tanzania,1700000.0,1700000.0,1600000.0
AFR,Nigeria,1900000.0,1900000.0,1800000.0
EUR,Azerbaijan,10000.0,10000.0,10000.0
EUR,Kyrgyzstan,10000.0,9600.0,7600.0
EMR,Yemen,10000.0,9700.0,6900.0
AMR,Trinidad and Tobago,11000.0,11000.0,12000.0
EMR,Afghanistan,11000.0,10000.0,6900.0
AMR,Nicaragua,11000.0,11000.0,9400.0
AFR,Togo,110000.0,110000.0,110000.0
AFR,Mali,110000.0,110000.0,110000.0
AFR,Chad,110000.0,110000.0,110000.0
AFR,Mauritius,12000.0,12000.0,12000.0
AFR,Eritrea,12000.0,13000.0,14000.0
AFR,Guinea,120000.0,120000.0,110000.0
EUR,Slovakia,1200.0,1100.0,700.0
EUR,Tajikistan,13000.0,13000.0,9100.0
AFR,Congo,130000.0,130000.0,100000.0
SEAR,Bhutan,1300.0,1300.0,1200.0
EUR,Italy,140000.0,140000.0,130000.0
AMR,Argentina,140000.0,140000.0,120000.0
WPR,Philippines,140000.0,120000.0,51000.0
SEAR,Timor-Leste,1400.0,1300.0,890.0
EUR,Cyprus,1400.0,1300.0,1100.0
EUR,Luxembourg,1400.0,1300.0,1100.0
EUR,Albania,1400.0,1400.0,1100.0
WPR,Fiji,1400.0,1300.0,790.0
AMR,Uruguay,15000.0,14000.0,11000.0
EUR,Republic of Moldova,15000.0,15000.0,15000.0
SEAR,Bangladesh,15000.0,14000.0,11000.0
WPR,Lao People's Democratic Republic,15000.0,15000.0,12000.0
AMR,Haiti,150000.0,150000.0,140000.0
AMR,Paraguay,16000.0,16000.0,13000.0
EUR,Spain,160000.0,150000.0,140000.0
EUR,Switzerland,17000.0,17000.0,17000.0
AMR,Costa Rica,17000.0,16000.0,12000.0
EUR,Greece,17000.0,16000.0,14000.0
