Location,Period2011,ART coverage 2011,Death by HIV 2011,People with HIV 2011,Total Population 2011,Period2012,ART coverage 2012,Death by HIV 2012,People with HIV 2012,Total Population 2012,Period2013,ART coverage 2013,Death by HIV 2013,People with HIV 2013,Total Population 2013,Period2014,ART coverage 2014,Death by HIV 2014,People with HIV 2014,Total Population 2014,Period2015,ART coverage 2015,Death by HIV 2015,People with HIV 2015,Total Population 2015,Period2016,ART coverage 2016,Death by HIV 2016,People with HIV 2016,Total Population 2016,Period2017,ART coverage 2017,Death by HIV 2017,People with HIV 2017,Total Population 2017,Period2018,ART coverage 2018,Death by HIV 2018,People with HIV 2018,Total Population 2018,Period2019,ART coverage 2019,Death by HIV 2019,People with HIV 2019,Total Population 2019,Period2020,ART coverage 2020,Death by HIV 2020,People with HIV 2020,Total Population 2020,Period2021,ART coverage 2021,Death by HIV 2021,People with HIV 2021,Total Population 2021
Equatorial Guinea,2011,10.0,1900.0,37000.0,986861.0,2012,15.0,2100.0,40000.0,1031191.0,2013,25.0,2000.0,44000.0,1076412.0,2014,24.0,1800.0,47000.0,1122273.0,2015,22.0,1900.0,50000.0,1168575.0,2016,28.0,2200.0,53000.0,1215181.0,2017,37.0,2200.0,56000.0,1262008.0,2018,36.0,2100.0,59000.0,1308966.0,2019,37.0,2200.0,61000.0,1355982.0,2020,40.0,2300.0,64000.0,1402985.0,2021,41.0,2300.0,66000.0,1449891.0
Tajikistan,2011,10.0,200.0,6300.0,7697507.0,2012,12.0,200.0,7200.0,7874838.0,2013,16.0,500.0,7900.0,8059782.0,2014,23.0,500.0,8500.0,8252828.0,2015,32.0,500.0,9100.0,8454019.0,2016,39.0,200.0,9900.0,8663575.0,2017,46.0,200.0,11000.0,8880270.0,2018,53.0,200.0,11000.0,9100847.0,2019,59.0,200.0,12000.0,9321023.0,2020,63.0,200.0,13000.0,9537642.0,2021,65.0,200.0,13000.0,9749625.0
Angola,2011,10.0,16000.0,260000.0,24220660.0,2012,12.0,16000.0,270000.0,25107925.0,2013,17.0,17000.0,280000.0,26015786.0,2014,22.0,15000.0,290000.0,26941773.0,2015,24.0,15000.0,300000.0,27884380.0,2016,23.0,15000.0,300000.0,28842482.0,2017,25.0,16000.0,310000.0,29816769.0,2018,28.0,17000.0,310000.0,30809787.0,2019,30.0,16000.0,310000.0,31825299.0,2020,35.0,16000.0,310000.0,32866268.0,2021,41.0,15000.0,320000.0,33933611.0
Sierra Leone,2011,11.0,4600.0,71000.0,6563238.0,2012,11.0,4400.0,72000.0,6712586.0,2013,13.0,4400.0,73000.0,6863975.0,2014,15.0,4600.0,74000.0,7017153.0,2015,19.0,4600.0,75000.0,7171909.0,2016,24.0,4300.0,75000.0,7328846.0,2017,31.0,4100.0,75000.0,7488427.0,2018,38.0,3700.0,76000.0,7650149.0,2019,44.0,3400.0,76000.0,7813207.0,2020,50.0,3200.0,76000.0,7976985.0,2021,61.0,3000.0,76000.0,8141343.0
Latvia,2011,12.0,500.0,4600.0,2059709.0,2012,14.0,500.0,4800.0,2034319.0,2013,15.0,500.0,5000.0,2012647.0,2014,16.0,500.0,5200.0,1993782.0,2015,17.0,500.0,5500.0,1977527.0,2016,30.0,500.0,5800.0,1959537.0,2017,35.0,100.0,6200.0,1942248.0,2018,38.0,100.0,6600.0,1927174.0,2019,42.0,100.0,7000.0,1913822.0,2020,41.0,100.0,7400.0,1900449.0,2021,39.0,100.0,7800.0,1883162.0
Syrian Arab Republic,2011,14.0,100.0,510.0,21081814.0,2012,16.0,100.0,520.0,20438861.0,2013,17.0,100.0,530.0,19578466.0,2014,18.0,100.0,540.0,18710711.0,2015,18.0,100.0,550.0,17997411.0,2016,20.0,100.0,560.0,17465567.0,2017,25.0,100.0,580.0,17095669.0,2018,32.0,100.0,610.0,16945062.0,2019,38.0,100.0,660.0,17070132.0,2020,39.0,100.0,730.0,17500657.0,2021,38.0,100.0,810.0,18275704.0
Guinea-Bissau,2011,14.0,2100.0,37000.0,1562996.0,2012,17.0,2000.0,37000.0,1604981.0,2013,18.0,1900.0,38000.0,1648259.0,2014,21.0,2000.0,38000.0,1692433.0,2015,25.0,1900.0,39000.0,1737207.0,2016,30.0,1900.0,39000.0,1782434.0,2017,31.0,1800.0,39000.0,1828146.0,2018,38.0,1900.0,39000.0,1874304.0,2019,42.0,1800.0,39000.0,1920917.0,2020,44.0,1700.0,39000.0,1967998.0,2021,45.0,1700.0,40000.0,2015490.0
Liberia,2011,15.0,2700.0,39000.0,4017446.0,2012,14.0,2500.0,38000.0,4135662.0,2013,17.0,2500.0,38000.0,4248337.0,2014,19.0,2400.0,37000.0,4359508.0,2015,20.0,2400.0,37000.0,4472229.0,2016,22.0,2300.0,36000.0,4586788.0,2017,33.0,2100.0,35000.0,4702224.0,2018,40.0,1700.0,35000.0,4818976.0,2019,45.0,1500.0,35000.0,4937374.0,2020,54.0,1300.0,34000.0,5057677.0,2021,61.0,1100.0,34000.0,5180208.0
Kazakhstan,2011,15.0,500.0,12000.0,16557202.0,2012,19.0,500.0,14000.0,16792090.0,2013,23.0,500.0,16000.0,17035551.0,2014,26.0,500.0,18000.0,17288285.0,2015,32.0,500.0,20000.0,17542806.0,2016,36.0,200.0,22000.0,17794055.0,2017,46.0,200.0,24000.0,18037776.0,2018,56.0,200.0,27000.0,18276452.0,2019,60.0,200.0,29000.0,18513673.0,2020,63.0,200.0,32000.0,18755666.0,2021,64.0,200.0,35000.0,19002586.0
Comoros,2011,15.0,100.0,200.0,706578.0,2012,18.0,100.0,200.0,723865.0,2013,20.0,100.0,200.0,741511.0,2014,22.0,100.0,200.0,759390.0,2015,29.0,100.0,200.0,777435.0,2016,31.0,100.0,200.0,795597.0,2017,35.0,100.0,200.0,813890.0,2018,42.0,100.0,200.0,832322.0,2019,53.0,100.0,200.0,850891.0,2020,58.0,100.0,200.0,869595.0,2021,61.0,100.0,200.0,888456.0
