Country,People receive ART,People with HIV,ART coverage (%),People with HIV-median,People with HIV-min,People with HIV-max,ART coverage(%)-median,ART coverage(%)-min,ART coverage(%)-max,WHO Region
Afghanistan,920.0,11000.0,20.0,7200.0,4100.0,11000.0,13.0,7.0,20.0,Eastern Mediterranean
Algeria,12800.0,17000.0,86.0,16000.0,15000.0,17000.0,81.0,75.0,86.0,Africa
Angola,88700.0,390000.0,31.0,330000.0,290000.0,390000.0,27.0,23.0,31.0,Africa
Argentina,85500.0,150000.0,67.0,140000.0,130000.0,150000.0,61.0,55.0,67.0,Americas
Armenia,1900.0,4400.0,65.0,3500.0,3000.0,4400.0,53.0,44.0,65.0,Europe
Australia,22800.0,31000.0,93.0,28000.0,23000.0,31000.0,83.0,70.0,93.0,Western Pacific
Bahamas,3100.0,6700.0,58.0,6000.0,5300.0,6700.0,52.0,45.0,58.0,Americas
Bangladesh,3000.0,16000.0,25.0,14000.0,12000.0,16000.0,22.0,19.0,25.0,South-East Asia
Barbados,1500.0,3400.0,57.0,3000.0,2700.0,3400.0,50.0,44.0,57.0,Americas
Belarus,15500.0,34000.0,75.0,27000.0,22000.0,34000.0,59.0,48.0,75.0,Europe
Belize,1400.0,5400.0,31.0,4900.0,4400.0,5400.0,28.0,26.0,31.0,Americas
Benin,44200.0,120000.0,95.0,73000.0,48000.0,120000.0,61.0,40.0,95.0,Africa
Bhutan,480.0,2700.0,78.0,1300.0,700.0,2700.0,37.0,20.0,78.0,South-East Asia
Bolivia (Plurinational State of),9900.0,24000.0,48.0,22000.0,20000.0,24000.0,44.0,40.0,48.0,Americas
Bosnia and Herzegovina,220.0,500.0,78.0,500.0,500.0,500.0,67.0,57.0,78.0,Europe
Botswana,307000.0,400000.0,90.0,370000.0,330000.0,400000.0,83.0,75.0,90.0,Africa
Brazil,593000.0,1100000.0,82.0,900000.0,690000.0,1100000.0,66.0,51.0,82.0,Americas
Bulgaria,1500.0,4100.0,48.0,3500.0,3000.0,4100.0,41.0,35.0,48.0,Europe
Burkina Faso,59300.0,120000.0,75.0,96000.0,78000.0,120000.0,62.0,50.0,75.0,Africa
Burundi,65500.0,97000.0,94.0,82000.0,71000.0,97000.0,80.0,69.0,94.0,Africa
Cabo Verde,2200.0,2900.0,95.0,2400.0,2100.0,2900.0,89.0,75.0,95.0,Africa
Cambodia,59500.0,84000.0,93.0,73000.0,64000.0,84000.0,81.0,71.0,93.0,Western Pacific
Cameroon,281000.0,590000.0,57.0,540000.0,470000.0,590000.0,52.0,46.0,57.0,Africa
Central African Republic,39600.0,140000.0,45.0,110000.0,90000.0,140000.0,36.0,30.0,45.0,Africa
Chad,61400.0,150000.0,63.0,120000.0,94000.0,150000.0,51.0,40.0,63.0,Africa
Chile,45100.0,78000.0,70.0,71000.0,63000.0,78000.0,63.0,56.0,70.0,Americas
Colombia,113000.0,180000.0,86.0,160000.0,130000.0,180000.0,73.0,60.0,86.0,Americas
Comoros,100.0,500.0,95.0,200.0,100.0,500.0,79.0,39.0,95.0,Africa
Congo,31200.0,120000.0,46.0,89000.0,69000.0,120000.0,35.0,27.0,46.0,Americas
Costa Rica,7200.0,17000.0,54.0,15000.0,13000.0,17000.0,49.0,44.0,54.0,Americas
Côte d'Ivoire,252000.0,580000.0,70.0,460000.0,360000.0,580000.0,55.0,44.0,70.0,Africa
Croatia,1200.0,1700.0,83.0,1600.0,1400.0,1700.0,75.0,67.0,83.0,Europe
Cuba,21900.0,37000.0,85.0,31000.0,24000.0,37000.0,72.0,55.0,85.0,Americas
Czechia,2600.0,5000.0,68.0,4400.0,3700.0,5000.0,60.0,51.0,68.0,Europe
Democratic Republic of the Congo,256000.0,530000.0,67.0,450000.0,370000.0,530000.0,57.0,47.0,67.0,Africa
Denmark,5500.0,7000.0,95.0,6200.0,5600.0,7000.0,89.0,79.0,95.0,Europe
Djibouti,2700.0,11000.0,38.0,8800.0,7100.0,11000.0,30.0,25.0,38.0,Eastern Mediterranean
Dominican Republic,39000.0,92000.0,73.0,70000.0,54000.0,92000.0,56.0,43.0,73.0,Americas
Ecuador,25100.0,71000.0,93.0,44000.0,29000.0,71000.0,57.0,38.0,93.0,Americas
Egypt,6700.0,24000.0,33.0,22000.0,20000.0,24000.0,31.0,28.0,33.0,Eastern Mediterranean
El Salvador,11900.0,30000.0,55.0,25000.0,21000.0,30000.0,47.0,39.0,55.0,Americas
Equatorial Guinea,21400.0,81000.0,44.0,62000.0,50000.0,81000.0,34.0,27.0,44.0,Africa
Eritrea,8900.0,24000.0,68.0,18000.0,13000.0,24000.0,51.0,38.0,68.0,Africa
Estonia,4300.0,8200.0,66.0,7400.0,6600.0,8200.0,59.0,53.0,66.0,Europe
Eswatini,177000.0,220000.0,94.0,210000.0,190000.0,220000.0,86.0,80.0,94.0,Africa
Ethiopia,450000.0,900000.0,85.0,690000.0,530000.0,900000.0,65.0,50.0,85.0,Africa
Finland,3000.0,4900.0,95.0,4000.0,3100.0,4900.0,76.0,60.0,95.0,Europe
France,148000.0,210000.0,95.0,180000.0,150000.0,210000.0,83.0,69.0,95.0,Europe
Gabon,35600.0,67000.0,85.0,53000.0,43000.0,67000.0,67.0,54.0,85.0,Africa
Gambia,7500.0,33000.0,38.0,26000.0,21000.0,33000.0,29.0,24.0,38.0,Africa
Georgia,4600.0,11000.0,57.0,9400.0,8100.0,11000.0,49.0,42.0,57.0,Europe
Germany,69900.0,100000.0,93.0,87000.0,71000.0,100000.0,80.0,65.0,93.0,Europe
Ghana,113000.0,390000.0,39.0,330000.0,280000.0,390000.0,34.0,28.0,39.0,Africa
Guatemala,20200.0,51000.0,47.0,47000.0,43000.0,51000.0,43.0,40.0,47.0,Americas
Guinea,48600.0,140000.0,48.0,120000.0,100000.0,140000.0,40.0,34.0,48.0,Africa
Guinea-Bissau,14600.0,49000.0,37.0,44000.0,39000.0,49000.0,33.0,29.0,37.0,Africa
Guyana,5600.0,9400.0,78.0,8200.0,7200.0,9400.0,68.0,60.0,78.0,Americas
Haiti,91500.0,180000.0,65.0,160000.0,140000.0,180000.0,58.0,52.0,65.0,Americas
