Country,People receive ART,People with HIV,ART coverage (%),People with HIV-median,People with HIV-min,People with HIV-max,ART coverage(%)-median,ART coverage(%)-min,ART coverage(%)-max,WHO Region,Total Population
Afghanistan,920,11000,20,7200,4100,11000,13,7,20,Eastern Mediterranean,38928346
Algeria,12800,17000,86,16000,15000,17000,81,75,86,Africa,43851044
Angola,88700,390000,31,330000,290000,390000,27,23,31,Africa,32866272
Argentina,85500,150000,67,140000,130000,150000,61,55,67,Americas,45195774
Armenia,1900,4400,65,3500,3000,4400,53,44,65,Europe,2963243
Australia,22800,31000,93,28000,23000,31000,83,70,93,Western Pacific,25499884
Bahamas,3100,6700,58,6000,5300,6700,52,45,58,Americas,393244
Bangladesh,3000,16000,25,14000,12000,16000,22,19,25,South-East Asia,164689383
Barbados,1500,3400,57,3000,2700,3400,50,44,57,Americas,287375
Belarus,15500,34000,75,27000,22000,34000,59,48,75,Europe,9449323
Belize,1400,5400,31,4900,4400,5400,28,26,31,Americas,397628
Benin,44200,120000,95,73000,48000,120000,61,40,95,Africa,12123200
Bhutan,480,2700,78,1300,700,2700,37,20,78,South-East Asia,771608
Bolivia (Plurinational State of),9900,24000,48,22000,20000,24000,44,40,48,Americas,11673021
Bosnia and Herzegovina,220,500,78,500,500,500,67,57,78,Europe,3280819
Botswana,307000,400000,90,370000,330000,400000,83,75,90,Africa,2351627
Brazil,593000,1100000,82,900000,690000,1100000,66,51,82,Americas,212559417
Bulgaria,1500,4100,48,3500,3000,4100,41,35,48,Europe,6948445
Burkina Faso,59300,120000,75,96000,78000,120000,62,50,75,Africa,20903273
Burundi,65500,97000,94,82000,71000,97000,80,69,94,Africa,11890784
Cabo Verde,2200,2900,95,2400,2100,2900,89,75,95,Africa,555987
Cambodia,59500,84000,93,73000,64000,84000,81,71,93,Western Pacific,16718965
Cameroon,281000,590000,57,540000,470000,590000,52,46,57,Africa,26545863
Central African Republic,39600,140000,45,110000,90000,140000,36,30,45,Africa,4829767
Chad,61400,150000,63,120000,94000,150000,51,40,63,Africa,16425864
Chile,45100,78000,70,71000,63000,78000,63,56,70,Americas,19116201
Colombia,113000,180000,86,160000,130000,180000,73,60,86,Americas,50882891
Comoros,100,500,95,200,100,500,79,39,95,Africa,869601
